"latitude","longitude","stn","name"
"59.217","12.083","24080","BLOMSKOG"
"59.05","12.7","24090","AMAL"
"60.683","13.717","24100","MALUNG"
"59.667","12.633","24110","ARVIKA"
"59.367","13.467","24150","KARLSTAD SOL"
"59.45","13.467","24180","KARLSTAD FLYGPLATS"
"59.867","13.117","24230","SUNNE"
"59.95","14.95","24240","STALLDALEN"
"60.15","13.8","24260","GUSTAVSFORS"
"59.217","15.033","24283","OREBRO"
"59.667","14.183","24290","DAGLOSEN"
"59.233","15.05","24320","OREBRO"
"60.433","15.517","24350","BORLANGE"
"59.267","15.333","24360","OREBRO/EKEBY (DEAD)"
"60.967","16.433","24400","AMOT"
"60.967","14.5","24410","MORA"
"60.167","16.317","24440","FOLKARNA"
"59.583","16.633","24460","VASTERAS/HASSLO AFB"
"60.733","17.567","24500","EGGEGRUND"
"59.3","14.9","24520","KILSBERGEN-SUTTARBOD"
"60.717","17.167","24530","GAVLE"
"60.233","17.9","24560","FILM"
"59.9","17.6","24580","UPPSALA"
"59.65","17.95","24600","STOCKHOLM/ARLANDA"
"59.367","17.9","24640","STOCKHOLM/BROMMA"
"60.383","15.133","24680","STORA SPANSBERGET"
"59.183","17.917","24690","TULLINGE"
"60.167","18.75","24740","SINGO ISLAND"
"59.05","16.4","24760","FLODA"
"59.917","16.683","24810","SALA"
"60.267","16.983","24820","KERSTINBO"
"58.783","16.9","24853","SKAVSTA"
"59.367","17.517","24860","ADELSO"
"60.533","18.383","24880","ORSKAR"
"59.833","18.633","24900","SVANBERGA"
"59.45","19.5","24960","SVENSKA HOGARNA"
"58.9","11","25000","NORDKOSTER"
"58.1","11.333","25050","MASESKAR"
"58.1","11.35","25080","MASESKAR (LGT-H)"
"58.317","12.333","25103","TROLLHATTAN VANERSB"
"1.383","103.717","25105","DATSAV3 VIRT STATION (SINGAPORE)"
"57.783","11.883","25120","GOTEBORG/SAVE"
"57.717","12","25130","GOTEBORG"
"57.633","11.617","25160","VINGA"
"57.3","11.9","25180","NIDINGEN"
"58.433","12.717","25200","SATENAS"
"58.317","12.333","25230","TROLLHATTAN/VANERS"
"57.933","13.067","25240","MOLLA"
"57.667","12.3","25260","GOTEBORG/LANDVETTER"
"58.9","13.25","25300","NASHUVUD"
"58.45","13.967","25350","SKOVDE AIRPORT"
"57.783","13.167","25360","RANGEDALA"
"58.967","14.9","25410","SNAVLUNDA"
"58.317","13.033","25420","HALLUM"
"58.517","14.533","25440","KARLSBORG(SAFB)"
"58.1","14.417","25480","VISINGSO"
"57.5","14.467","25490","TOMTABACKEN"
"57.75","14.083","25500","JONKOPING/AXAMO"
"58.067","15.233","25520","MALEXANDER"
"58.717","15.033","25540","KETTSTAKA"
"57.65","14.7","25550","NASSJO"
"57.3","14.133","25560","HAGSHULT"
"58.683","16.317","25580","KOLMARDEN-STROMSFOR"
"57.7","16.467","25590","GLADHAMMAR"
"58.4","15.533","25620","LINKOPING/MALMSLATT"
"58.4","15.667","25625","SAAB"
"58.25","17.017","25630","HARSTENA"
"56.3","12.85","25635","ANGELHOLM"
"58.067","15.233","25640","MALEXANDER"
"57.4","15.817","25660","MALILLA"
"58.75","17.867","25670","LANDSORT"
"58.617","16.117","25700","NORRKOPING/BRAVALLA"
"58.583","16.149","25710","NORRKOPING/KUNGSANG"
"58.783","16.917","25720","NYKOPING/SKAVST AFB"
"58.583","16.149","25740","NORRKOPING"
"57.367","17.1","25750","OLANDS NORRA UDDE"
"57.783","16.6","25760","GLADHAMMAR"
"58.75","17.867","25820","LANDSORT"
"58.4","19.2","25840","GOTSKA SANDON"
"58.25","17.017","25860","HARSTENA"
"57.9","19.167","25880","FARO ISLAND"
"58.4","19.2","25890","GOTSKA SANDON"
"57.667","18.35","25900","VISBY"
"57.367","17.1","25920","OLANDS NORRA UDDE"
"56.683","12.833","26040","HALMSTAD (SWE-AFB)"
"56.45","12.55","26050","HALLANDS VADERO"
"56.3","12.45","26060","KULLEN (LGT-H)"
"56.3","12.85","26070","ANGELHOLM"
"56.033","12.767","26110","HELSINGBORG"
"55.383","12.817","26160","FALSTERBO"
"56.967","13.067","26200","TORUP"
"56.85","13.883","26220","LJUNGBY"
"55.867","13.667","26230","HORBY"
"55.483","14.317","26250","SKILLINGE"
"56.367","13.95","26260","OSBY"
"56.017","14.85","26280","HANO"
"56.083","13.233","26300","LJUNGBYHED(SWE-AFB)"
"55.567","13.067","26350","MALMO"
"55.55","13.367","26360","MALMO/STURUP"
"55.333","13.35","26380","SMYGEHUK (LGT-H)"
"55.433","13.833","26390","YSTAD"
"56.867","14.8","26400","VAXJO/URASA(SAFB)"
"56.933","14.733","26410","VAXJO/KRONOBERG"
"56.2","16.4","26440","OLANDS SODRA UDDE"
"56.85","14.833","26480","VAXJO"
"56.017","14.85","26500","HANO ISLAND (LGT-H)"
"55.917","14.083","26510","KRISTIANSTAD/EVEROD"
"56.85","15.45","26610","KOSTA"
"56.267","15.267","26640","RONNEBY/KALLINGE"
"56.033","15.8","26660","UNGSKAR"
"56.683","16.3","26700","KALMAR"
"56.733","16.3","26720","KALMAR"
"56.917","18.15","26800","HOBURG"
"64.033","24.717","27550","YLIVIESKA AIRPORT"
"60.25","20.75","27900","KUMLINGE KK"
"69.05","20.783","28010","KILPISJARVI"
"69.75","27.033","28050","KEVO"
"68.617","27.417","28070","IVALO"
"68.35","23.417","28075","ENONTEKIO"
"67.967","23.683","28230","MUONIO"
"67.7","24.833","28234","KITTILA"
"67.367","26.65","28360","SODANKYLA"
"66.8","24","28440","PELLO"
"66.567","25.833","28450","ROVANIEMI"
"66.817","28.667","28480","SALLA"
"66.833","28.683","28490","SALLA KK"
"65.783","24.583","28640","KEMI"
"65.517","25.267","28650","KUIVANIEMI"
"65.4","26.967","28660","PUDASJARVI"
"65.367","27.017","28670","PUDASJARVI"
"65.967","29.183","28690","KUUSAMO"
"65.033","24.567","28730","MARJANIEM"
"65.033","24.733","28740","HAILUOTO"
"64.933","25.367","28750","OULU"
"64.9","29.017","28790","SUOMUSSALMI"
"64.283","27.683","28970","KAJAANI"
"63.733","22.583","29010","MASSKAR"
"63.717","23.15","29030","KRUUNUPYY"
"63.917","24.967","29050","NIVALA"
"63.433","21.067","29100","VALASSAARET"
"63.05","21.767","29110","VAASA AIRPORT"
"63.1","23.033","29130","KAUHAVA"
"63.717","23.133","29135","KRUUNUPYY"
"63.083","25.867","29150","VIITASAARI"
"63.017","27.8","29170","KUOPIO"
"62.683","30.95","29190","ILOMANTSI"
"62.883","21.1","29210","MOIKIPAA"
"62.533","24.017","29240","AHTARI"
"62.667","29.633","29290","JOENSUU"
"62.4","25.683","29350","JYVASKYLA"
"62.767","30.967","29390","ILOMANTSI MEKRIJARV"
"61.85","22.467","29420","NIINISALO"
"61.45","23.75","29430","TAMPERE/HARMALA"
"61.417","23.583","29440","TAMPERE/PIRKKALA"
"61.85","24.8","29450","HALLI"
"61.733","27.3","29470","MIKKELI"
"61.95","28.95","29480","SAVONLINNA"
"61.8","29.317","29490","PUNKAHARJU"
"61.467","21.8","29520","PORI"
"60.983","24.45","29530","HAMEENLINNA"
"61.05","28.2","29580","LAPPEENRANTA"
"61.133","21.367","29610","KUUSKAJASKARI"
"60.817","23.5","29630","JOKIOINEN"
"60.717","21.017","29640","KUSTAVI ISOKARI"
"60.967","25.633","29650","LAHTI"
"60.9","26.933","29660","UTTI"
"60.283","27.183","29670","KOTKA HAAPASAARI"
"60.117","19.9","29700","MARIEHAMN/ALAND ISL"
"60.15","19.867","29710","JOMALA"
"60.517","22.267","29720","TURKU"
