"latitude","longitude","name","stn"
"61.817","34.267","PETROZAVODSK","228200"
"61.017","36.45","VYTEGRA","228370"
"61.5","38.933","KARGOPOL","228450"
"61.667","40.183","NJANDOMA","228540"
"61.083","42.067","VELSK","228670"
"61.233","46.717","KOTLAS","228870"
"60.717","28.733","VYBORG","228920"
"60.033","37.783","BELOZERSK","229390"
"60.467","40.2","VOZEGA","229540"
"60.367","49.65","OBJACEVO","229960"
"69.75","61.7","AMDERMA","230220"
"69.483","60.333","CAPE BELY","230240"
"69.25","64.983","UST-KARA","230290"
"69.717","66.8","MARESALE","230320"
"69.083","76.85","ANTIPAJETA","230580"
"69.4","86.167","DUDINKA","230740"
"59.15","68.917","DATSAV3 VIRT STATION (FORMER USSR (ASIA))","230770"
"69.333","88.1","NORILSK","230780"
"68.583","52.333","TOBSEDA","231050"
"68.85","61.183","KOROTAJIHA","231210"
"68.467","73.6","CAPE KAMENNYJ","231460"
"68.2","90.033","TAJMUR","231790"
"67.633","53.033","NARJAN-MAR","232050"
"67.083","59.383","HOSEDA-HARD","232190"
"66.583","66.6","SALEKHARD","232201"
"62.183","74.533","KOGALYM","232203"
"57.183","65.316","ROSCHINO","232204"
"63.55","53.817","UKHTA","232205"
"67.483","64.016","VORKUTA","232260"
"67.683","72.867","NOVY PORT","232420"
"67.467","78.733","TAZOVSKOE","232560"
"67.467","86.567","IGARKA","232740"
"66.533","66.667","SALEHARD","233300"
"66.9","65.667","RA-IZ","233310"
"66.8","68.883","JAMBUR","233330"
"66.05","68.683","JANGI-JUGAN","233390"
"66.833","70.833","JAR-SALE","233410"
"66.6","72.9","NYDA","233450"
"65.433","52.267","UST-CILMA","234050"
"65.967","56.917","UST-USA","234120"
"65.117","57.1","PECHORA","234180"
"65.382","64.717","MUZI","234260"
"65.85","65.967","PITLJAR","234310"
"65.467","72.667","NADYM","234450"
"65.683","82.467","KRASNOSELKUP","234650"
"65.867","86.217","UST-BAJHA","234710"
"65.783","87.933","TURUHANSK","234720"
"64.283","60.883","SARAN-PAUL","235270"
"64.917","77.817","TARKO-SALE","235520"
"64.25","87.6","VERESCAGINO","235780"
"63.55","53.817","UHTA","236060"
"63.2","64.483","IGRIM","236290"
"63.933","65.05","BEREZOVO","236310"
"63.717","66.7","KISLOR WEST","236320"
"63.983","82.083","TOL KA","236620"
"63.15","87.95","VERHNEIMBATSK","236780"
"62.983","50.9","VESLJANA","237010"
"62.7","56.2","TROICKO-PECHERSKOE","237110"
"62.433","60.867","NJAKSIMVOL","237240"
"62.45","66.05","OKTJABRSKOE","237340"
"62.333","89.25","BAHTA","237760"
"61.683","53.683","UST-KULOM","238030"
"61.683","50.783","SYKTYVKAR","238040"
"61.967","64.3","HONGOKURT","238230"
"61.8","74.083","YERMAKOVO","238430"
"61.317","71.267","SITOMINO","238470"
"61.25","73.5","SURGUT","238490"
"61.6","90.017","BOR","238840"
"60.283","54.35","GAJNY","239090"
"60.4","56.517","CHERDYN","239140"
"60.683","60.45","IVDEL","239210"
"60.317","64.217","SAIM","239290"
"61.017","69.033","HANTY-MANSIJSK","239330"
"60.95","76.483","NIZHNEVARTOVSK","239331"
"60.433","77.867","ALEKSANDROVSKOE","239550"
"60.35","84.083","VANZIL-KYNAK","239660"
"61.033","89.633","VOROGOVO","239730"
"60.25","90.233","JARCEVO","239870"
"69.917","125.033","SIKTJAH","240510"
"68.5","112.433","OLENEK","241250"
"68.733","124","DZARDZAN","241430"
"68.45","134.8","JANSK","241660"
"67.55","133.383","VERHOJANSK","242660"
"66.767","123.4","ZHIGANSK","243430"
"66.5","149.783","ARGA","243960"
"65.25","135.9","IEMA","244770"
"64.266","100.233","TURA","245070"
"64.2","126.617","TAS-TUMUS","245570"
"63.283","118.333","NJURBA","246390"
"63.767","121.617","VILJUJSK","246410"
"63.967","127.467","SANGARY","246520"
"63.517","129.483","BATAMAJ","246560"
"63.95","135.867","TOMPO","246710"
"63.033","112.5","CHERNISHEVSKIJ","247240"
"62.533","113.867","MIRNVY","247260"
"62.15","117.65","SUNTAR","247380"
"62.783","136.8","TELPY KLJUCH","247710"
"62.533","149.633","YAGODNOYE","247960"
"61.267","108.017","ERBOGACEN","248170"
"61.433","114.35","BIJITTAH","248260"
"61.483","129.15","POKROVSKAJA","248560"
"61.883","147.35","KULU","248910"
"60.717","114.883","LENSK","249230"
"60.4","120.417","OLEKMINSK","249440"
"60.6","124.033","SANI-YAKHTAT","249460"
"60.817","125.317","ISIT","249510"
"62.017","129.717","JAKUTSK","249590"
"60.383","134.45","UST-MAJA","249660"
"60.717","142.783","UEGA","249820"
"60.083","142.333","ARKA","249880"
"69.617","162.3","BUHTA AMBARCIK","250340"
"69.833","168.667","AJON ISLAND","250420"
"69.483","166.55","RACUA","250440"
"69.7","170.283","PEVEK","250510"
"69.75","170.6","APAPELKHINO","250520"
"69.883","175.767","MYS BILLINGSA","250620"
"68.733","158.733","KOLJMSKAJA","251210"
"68.75","161.283","CHERSKIJ","251230"
"68.9","-179.367","MYS SHMIDTA","251730"
"67.45","153.717","SREDNE KOLYMSK","252060"
"67.833","-175.833","MYS VANKAREM","252820"
"66.833","-174.5","KOLJUCINSKAJA BAY","252860"
"66.55","159.417","UST-OLOJ","253250"
"67.033","-178.917","AMGUJEMA","253720"
"66.35","-179.117","EGVEKINOT","253780"
"66.933","-171.833","ENURMINO","253920"
"66.167","-169.833","MYS UELEN","253990"
"65.733","150.9","ZYRJANKA","254000"
